,time,load_consumption,temperature,pressure,dew_point,heat_index,humidity,solar_irradiance,uv_index,wind_chill
0,2022-09-06 15:30:00,21553.9,26.4,101558.3,16.6,26.3,47.3,157.1,0.6,26.4
1,2022-09-06 15:35:00,24059.0,26.2,101557.4,16.6,26.1,48.1,124.1,0.5,26.2
2,2022-09-06 15:40:00,24724.7,26.0,101555.5,16.6,26.0,48.7,108.4,0.4,26.0
3,2022-09-06 15:45:00,25319.3,25.9,101554.0,16.6,25.9,49.1,112.3,0.4,25.9
4,2022-09-06 15:50:00,23143.4,25.9,101555.8,16.6,25.9,49.4,117.7,0.3,25.9
5,2022-09-06 15:55:00,22588.3,25.8,101556.7,16.7,25.8,49.8,125.5,0.3,25.8
6,2022-09-06 16:00:00,22250.4,25.9,101554.6,16.7,25.9,49.9,99.7,0.2,25.9
7,2022-09-06 16:05:00,23146.4,25.8,101551.3,16.7,25.8,50.0,91.8,0.2,25.8
8,2022-09-06 16:10:00,22262.8,25.7,101549.5,16.7,25.7,50.5,86.0,0.2,25.7
9,2022-09-06 16:15:00,22047.3,25.5,101550.4,16.6,25.5,50.9,80.5,0.2,25.5
10,2022-09-06 16:20:00,19552.6,25.3,101551.5,16.5,25.4,51.0,76.8,0.0,25.3
11,2022-09-06 16:25:00,22938.1,25.3,101552.4,16.5,25.3,51.1,73.7,0.0,25.3
12,2022-09-06 16:30:00,22979.3,25.2,101554.2,16.5,25.3,51.5,70.9,0.0,25.2
13,2022-09-06 16:35:00,23411.1,25.1,101556.2,16.5,25.3,51.6,69.0,0.0,25.1
14,2022-09-06 16:40:00,23978.3,25.1,101559.4,16.5,25.2,52.0,70.8,0.0,25.1
15,2022-09-06 16:45:00,23821.6,25.1,101559.8,16.6,25.2,52.2,98.3,0.0,25.1
16,2022-09-06 16:50:00,23129.8,25.1,101556.9,16.6,25.2,51.9,99.1,0.0,25.1
17,2022-09-06 16:55:00,23449.7,25.1,101555.8,16.6,25.2,51.7,88.1,0.0,25.1
18,2022-09-06 17:00:00,23325.3,25.2,101555.8,16.7,25.3,51.7,75.3,0.0,25.2
19,2022-09-06 17:05:00,22259.7,25.2,101555.3,16.6,25.2,51.3,60.9,0.0,25.2
20,2022-09-06 17:10:00,21502.4,25.2,101555.8,16.7,25.1,51.6,49.9,0.0,25.2
21,2022-09-06 17:15:00,20862.1,25.1,101557.1,16.7,25.0,52.2,38.9,0.0,25.1
22,2022-09-06 17:20:00,22008.9,25.0,101558.0,16.8,24.9,52.7,30.3,0.0,25.0
23,2022-09-06 17:25:00,22013.5,24.9,101561.4,16.7,24.8,52.7,21.1,0.0,24.9
24,2022-09-06 17:30:00,21366.1,24.8,101563.0,16.7,24.8,53.1,11.5,0.0,24.8
25,2022-09-06 17:35:00,22411.5,24.7,101565.0,16.7,24.6,53.3,8.9,0.0,24.7
26,2022-09-06 17:40:00,22361.7,24.6,101565.7,16.6,24.5,53.5,6.3,0.0,24.6
27,2022-09-06 17:45:00,22355.5,24.4,101568.9,16.4,24.3,53.6,3.4,0.0,24.4
28,2022-09-06 17:50:00,22793.3,24.2,101571.4,16.6,24.2,55.3,2.8,0.0,24.2
29,2022-09-06 17:55:00,23523.4,24.1,101575.4,16.5,24.0,55.5,1.9,0.0,24.1
30,2022-09-06 18:00:00,25401.2,24.0,101580.8,16.5,23.9,55.9,1.0,0.0,24.0
31,2022-09-06 18:05:00,25052.5,23.9,101587.2,16.4,23.8,55.9,0.0,0.0,23.9
32,2022-09-06 18:10:00,21456.2,23.8,101597.1,16.3,23.7,56.2,0.0,0.0,23.8
33,2022-09-06 18:15:00,21577.7,23.7,101605.4,16.4,23.6,56.9,0.0,0.0,23.7
34,2022-09-06 18:20:00,21220.1,23.5,101613.6,16.4,23.5,57.3,0.0,0.0,23.5
35,2022-09-06 18:25:00,21284.5,23.4,101621.2,16.3,23.3,57.7,0.0,0.0,23.4
36,2022-09-06 18:30:00,21503.2,23.3,101630.3,16.2,23.1,57.9,0.0,0.0,23.3
37,2022-09-06 18:35:00,21308.8,23.1,101639.3,16.1,23.0,58.1,0.0,0.0,23.1
38,2022-09-06 18:40:00,21081.5,23.0,101647.4,16.1,22.9,58.3,0.0,0.0,23.0
39,2022-09-06 18:45:00,21351.0,22.9,101657.8,16.0,22.7,58.5,0.0,0.0,22.9
40,2022-09-06 18:50:00,21701.8,22.8,101668.7,16.1,22.6,59.3,0.0,0.0,22.8
41,2022-09-06 18:55:00,24671.8,22.7,101674.5,16.0,22.5,59.3,0.0,0.0,22.7
42,2022-09-06 19:00:00,30190.9,22.6,101677.0,15.9,22.5,59.3,0.0,0.0,22.6
43,2022-09-06 19:05:00,30142.8,22.5,101681.1,15.9,22.4,59.5,0.0,0.0,22.5
44,2022-09-06 19:10:00,29388.4,22.4,101685.1,15.9,22.3,60.1,0.0,0.0,22.4
45,2022-09-06 19:15:00,30312.6,22.4,101687.2,15.9,22.2,60.5,0.0,0.0,22.4
46,2022-09-06 19:20:00,30999.3,22.3,101689.2,16.0,22.2,61.1,0.0,0.0,22.3
47,2022-09-06 19:25:00,30621.5,22.2,101689.9,16.0,22.1,61.7,0.0,0.0,22.2
48,2022-09-06 19:30:00,29897.6,22.1,101688.3,16.0,22.0,61.8,0.0,0.0,22.1
49,2022-09-06 19:35:00,30743.6,22.1,101685.1,16.1,22.0,62.3,0.0,0.0,22.1
50,2022-09-06 19:40:00,30397.7,22.0,101686.5,16.0,21.9,62.3,0.0,0.0,22.0
51,2022-09-06 19:45:00,30970.1,22.0,101691.7,16.0,21.9,62.5,0.0,0.0,22.0
52,2022-09-06 19:50:00,31595.6,21.9,101693.9,15.9,21.8,62.5,0.0,0.0,21.9
53,2022-09-06 19:55:00,31779.2,21.8,101696.4,15.9,21.7,62.7,0.0,0.0,21.8
54,2022-09-06 20:00:00,32535.5,21.8,101700.5,15.9,21.7,62.9,0.0,0.0,21.8
55,2022-09-06 20:05:00,31824.8,21.7,101703.4,15.9,21.6,63.0,0.0,0.0,21.7
56,2022-09-06 20:10:00,30183.0,21.6,101703.9,15.9,21.5,63.3,0.0,0.0,21.6
57,2022-09-06 20:15:00,31717.5,21.5,101705.7,15.9,21.4,63.8,0.0,0.0,21.5
58,2022-09-06 20:20:00,33621.7,21.4,101704.5,15.8,21.3,64.0,0.0,0.0,21.4
59,2022-09-06 20:25:00,33542.3,21.4,101707.9,15.8,21.2,64.2,0.0,0.0,21.4
60,2022-09-06 20:30:00,35975.5,21.3,101710.4,15.7,21.1,64.3,0.0,0.0,21.3
61,2022-09-06 20:35:00,35587.9,21.2,101714.3,15.7,21.0,64.5,0.0,0.0,21.2
62,2022-09-06 20:40:00,35956.2,21.1,101715.2,15.7,21.0,65.0,0.0,0.0,21.1
63,2022-09-06 20:45:00,36441.7,21.1,101714.0,15.7,20.9,65.0,0.0,0.0,21.1
64,2022-09-06 20:50:00,34762.1,21.0,101717.2,15.7,20.9,65.4,0.0,0.0,21.0
65,2022-09-06 20:55:00,34909.2,20.9,101716.3,15.7,20.8,65.8,0.0,0.0,20.9
66,2022-09-06 21:00:00,32784.1,20.9,101716.5,15.6,20.7,65.9,0.0,0.0,20.9
67,2022-09-06 21:05:00,30524.3,20.8,101721.5,15.6,20.7,65.9,0.0,0.0,20.8
68,2022-09-06 21:10:00,30578.6,20.8,101724.2,15.6,20.7,65.7,0.0,0.0,20.8
69,2022-09-06 21:15:00,30910.9,20.8,101726.0,15.5,20.6,65.7,0.0,0.0,20.8
70,2022-09-06 21:20:00,31971.4,20.7,101726.2,15.5,20.6,65.7,0.0,0.0,20.7
71,2022-09-06 21:25:00,31962.0,20.7,101726.4,15.5,20.5,66.1,0.0,0.0,20.7
72,2022-09-06 21:30:00,32301.6,20.6,101730.1,15.5,20.5,66.2,0.0,0.0,20.6
73,2022-09-06 21:35:00,31783.7,20.6,101734.3,15.4,20.4,66.1,0.0,0.0,20.6
74,2022-09-06 21:40:00,31716.8,20.5,101735.9,15.4,20.4,66.3,0.0,0.0,20.5
75,2022-09-06 21:45:00,31293.0,20.5,101738.9,15.4,20.3,66.6,0.0,0.0,20.5
76,2022-09-06 21:50:00,31065.9,20.5,101743.4,15.5,20.3,67.0,0.0,0.0,20.5
77,2022-09-06 21:55:00,31479.7,20.4,101746.8,15.5,20.3,67.1,0.0,0.0,20.4
78,2022-09-06 22:00:00,30730.7,20.4,101751.3,15.5,20.2,67.3,0.0,0.0,20.4
79,2022-09-06 22:05:00,31013.4,20.3,101755.6,15.4,20.2,67.3,0.0,0.0,20.3
80,2022-09-06 22:10:00,31335.6,20.3,101755.3,15.4,20.1,67.5,0.0,0.0,20.3
81,2022-09-06 22:15:00,31084.3,20.2,101755.8,15.3,20.1,67.5,0.0,0.0,20.2
82,2022-09-06 22:20:00,31782.4,20.2,101756.5,15.3,20.0,67.6,0.0,0.0,20.2
83,2022-09-06 22:25:00,30913.9,20.1,101759.0,15.3,20.0,67.7,0.0,0.0,20.1
84,2022-09-06 22:30:00,29689.1,20.1,101757.6,15.3,19.9,67.9,0.0,0.0,20.1
85,2022-09-06 22:35:00,29654.1,20.0,101757.4,15.3,19.9,68.2,0.0,0.0,20.0
86,2022-09-06 22:40:00,31890.1,20.0,101757.4,15.3,19.8,68.3,0.0,0.0,20.0
87,2022-09-06 22:45:00,33911.1,19.9,101756.2,15.2,19.8,68.3,0.0,0.0,19.9
88,2022-09-06 22:50:00,32975.2,19.9,101759.2,15.2,19.7,68.5,0.0,0.0,19.9
89,2022-09-06 22:55:00,31156.8,19.8,101756.9,15.2,19.6,68.8,0.0,0.0,19.8
90,2022-09-06 23:00:00,30423.5,19.8,101755.3,15.1,19.6,68.8,0.0,0.0,19.8
91,2022-09-06 23:05:00,29911.4,19.7,101755.8,15.1,19.5,69.0,0.0,0.0,19.7
92,2022-09-06 23:10:00,29664.3,19.7,101755.3,15.1,19.5,69.0,0.0,0.0,19.7
93,2022-09-06 23:15:00,24467.9,19.6,101750.6,15.1,19.5,69.2,0.0,0.0,19.6
94,2022-09-06 23:20:00,24024.2,19.6,101751.5,15.1,19.4,69.7,0.0,0.0,19.6
95,2022-09-06 23:25:00,24958.2,19.5,101754.4,15.0,19.4,69.7,0.0,0.0,19.5
96,2022-09-06 23:30:00,24306.5,19.5,101752.4,15.0,19.3,69.7,0.0,0.0,19.5
97,2022-09-06 23:35:00,23449.7,19.5,101751.3,15.0,19.3,69.9,0.0,0.0,19.5
98,2022-09-06 23:40:00,24076.9,19.4,101751.3,15.0,19.2,70.0,0.0,0.0,19.4
99,2022-09-06 23:45:00,24546.4,19.4,101747.4,15.0,19.2,70.4,0.0,0.0,19.4
100,2022-09-06 23:50:00,22391.3,19.4,101747.7,15.1,19.2,71.0,0.0,0.0,19.4
101,2022-09-06 23:55:00,22352.3,19.3,101748.1,15.0,19.1,70.9,0.0,0.0,19.3
102,2022-09-07 0:00:00,22246.9,19.2,101747.7,14.9,19.1,70.8,0.0,0.0,19.2
103,2022-09-07 0:05:00,22624.7,19.2,101749.0,14.9,19.0,70.9,0.0,0.0,19.2
104,2022-09-07 0:10:00,22327.8,19.1,101752.6,14.9,19.0,71.2,0.0,0.0,19.1
105,2022-09-07 0:15:00,23268.9,19.1,101753.3,14.9,18.9,71.3,0.0,0.0,19.1
106,2022-09-07 0:20:00,21913.0,19.1,101749.5,14.9,18.9,71.3,0.0,0.0,19.1
107,2022-09-07 0:25:00,21044.2,19.0,101749.7,14.8,18.8,71.3,0.0,0.0,19.0
108,2022-09-07 0:30:00,21194.1,19.0,101748.1,14.8,18.8,71.5,0.0,0.0,19.0
109,2022-09-07 0:35:00,21906.7,19.0,101748.3,14.8,18.8,71.7,0.0,0.0,19.0
110,2022-09-07 0:40:00,21782.6,18.9,101742.5,14.8,18.7,71.7,0.0,0.0,18.9
